DATE,TMAX,PRCP,TMIN
2024-08-16,32.9,    0,25.406389848913104
2024-08-15,36.8,   20,27.1
2024-08-14,37.9,    0,26.7
2024-08-13,37.6,    0,26.1
2024-08-11,36.0,    0,25.5
2024-08-10,34.9,    0,25.904655524961093
2024-08-09,37.5,    0,25.4
2024-08-08,36.6,    0,24.2
2024-08-07,36.7,    0,26.170465552496108
2024-08-06,36.4,    0,26.07751210774572
2024-08-05,35.5,    0,26.041148471382087
2024-08-04,35.8,  551,26.03579833241682
2024-08-03,38.7,    0,28.1
2024-08-02,38.7,    0,27.0
2024-08-01,38.3,    0,25.7
2024-07-31,36.8,    0,26.54772040582188
2024-07-30,36.7,0,26.550181609780537
2024-07-29,39.4,    0,26.3
2024-07-28,38.3,    0,26.669475029001603
2024-07-27,37.2,    0,28.2
2024-07-26,37.5,    0,27.2
2024-07-25,36.2,    0,25.2
2024-07-24,33.2,   41,26.515216094964
2024-07-23,37.2,    0,26.2
2024-07-22,38.0,    0,26.234971920360508
2024-07-21,37.9,    0,27.0
2024-07-20,35.9,    0,26.185018801532454
2024-07-19,36.6,    0,27.4
2024-07-18,36.0,    0,24.4
2024-07-17,35.0,    0,25.92940085210712
2024-07-16,32.3,   51,23.5
2024-07-15,30.8,0,25.807055939142867
2024-07-14,33.57857142857143,0,25.752684449097806
2024-07-13,31.0,0,25.59677000523503
2024-07-12,27.3,  180,25.60954569395365
2024-07-11,27.4,   99,25.410606326615166
2024-07-10,33.0,   10,25.380606326615165
2024-07-09,33.2,   51,25.141569885514517
2024-07-08,36.7,    0,25.290803511470383
2024-07-07,37.0,    0,25.8
2024-07-06,37.2,   10,24.927491812450327
2024-07-05,36.5,    0,26.3
2024-07-04,34.1,    0,24.234698297128126
2024-07-03,34.4,    0,24.1
2024-07-02,27.2,  320,23.3
2024-07-01,27.2,   61,23.987749468420734
2024-06-30,30.3,   79,24.1
2024-06-29,32.0,   10,23.1
2024-06-28,25.0,  831,21.1
2024-06-27,28.3,    0,21.1
2024-06-26,31.2,    5,22.032312455701728
2024-06-25,30.0,    0,21.860005160343537
2024-06-24,30.5,    5,24.5
2024-06-23,28.1,  361,22.2
2024-06-22,31.8,  150,20.1
2024-06-21,30.0,  231,19.2
2024-06-20,29.0,    0,21.04359084622725
2024-06-19,33.7,    0,17.6
2024-06-18,26.6,  559,20.69035960065708
2024-06-17,27.2,   51,20.375813676989484
2024-06-16,32.4,  191,20.000887647624893
2024-06-15,31.9,   71,19.74255431429156
2024-06-14,35.9,    0,20.8
2024-06-13,32.8,    0,19.411785083522325
2024-06-12,32.5,    0,20.5
2024-06-11,32.4,    0,19.1
2024-06-10,30.2,   79,18.4
2024-06-09,23.6,   61,18.227325157341447
2024-06-08,30.0,    0,19.1
2024-06-07,29.7,    0,18.7
2024-06-06,27.3,    0,16.3
2024-06-05,28.0,    0,15.3
2024-06-04,24.7,    0,15.4
2024-06-03,23.9,    0,14.2
2024-06-02,25.7,  170,15.782732515734148
2024-06-01,28.0,    0,14.3
2024-05-31,22.5,   46,15.142525835081573
2024-05-30,27.5,    0,12.8
2024-05-29,24.8,    0,14.369473150090638
2024-05-28,20.2, 1560,14.266081277878486
2024-05-27,25.2,   51,14.206081277878486
2024-05-26,29.4,    0,13.5
2024-05-25,25.6,    0,14.04841615409292
2024-05-24,30.3,    0,13.93932524500201
2024-05-23,27.1,    0,13.829943373176594
2024-05-22,26.4,    0,12.9
2024-05-21,23.3,    0,13.615820610669045
2024-05-20,27.0,   99,14.8
2024-05-19,20.9,   41,13.503045943903688
2024-05-18,30.3,    0,14.2
2024-05-17,26.1,    0,13.1
2024-05-16,22.1,    0,12.813528175249939
2024-05-15,24.6,    0,15.3
2024-05-14,27.1,    0,9.3
2024-05-13,16.8,  361,12.601841568794848
2024-05-12,24.9,    5,12.621841568794848
2024-05-11,28.4,    0,12.4
2024-05-10,26.2,    0,8.0
2024-05-09,19.0,    0,12.243721131283964
2024-05-08,20.1,    0,12.186740426887365
2024-05-07,24.4,  264,12.350376790523729
2024-05-06,24.2,   10,12.783710123857063
2024-05-05,29.0,    0,15.0
2024-05-04,30.4,    0,13.3
2024-05-03,26.1,    0,11.1
2024-05-02,23.0,    0,13.29645484725521
2024-04-30,23.4,  249,13.619752926229399
2024-04-29,25.1,    0,17.1
2024-04-28,30.6,    0,14.5
2024-04-27,22.5,    0,13.831620777348459
2024-04-26,24.7,    0,12.4
2024-04-25,24.8,   41,13.760869838981455
2024-04-24,20.1,  119,14.056522043312725
2024-04-23,19.5,   89,15.8
2024-04-22,24.3,   10,14.172112517738071
2024-04-21,24.4,  155,13.642112517738074
2024-04-20,26.3,    0,12.2
2024-04-19,25.0,    0,13.130146992524574
2024-04-18,21.1,    0,12.930146992524575
2024-04-17,25.8,   30,12.29469546644908
2024-04-16,23.9,    0,12.159170345151875
2024-04-15,25.6,    0,13.9
2024-04-14,27.4,    0,11.8
2024-04-13,26.4,    0,11.5
2024-04-12,24.1,    0,11.2
2024-04-11,20.3,    0,10.0
2024-04-10,19.7,    0,5.5
2024-04-09,14.0,  610,10.787197304104716
2024-04-08,20.0,   61,10.662472482191339
2024-04-07,25.7,    0,12.5
2024-04-06,22.4,    0,9.6
2024-04-05,19.8,    0,10.074966978629606
2024-04-04,18.1,  109,9.73860334226597
2024-04-03,18.26,  160,13.1
2024-04-02,17.596363636363638,0,7.4
2024-04-01,17.113030303030303,0,8.006336900257244
2024-03-27,15.8,0,7.784992268429401
2024-03-26,15.282261072261074,0,6.961915345352479
2024-03-25,14.3,  119,10.0
2024-03-24,12.8,   10,7.5
2024-03-23,14.353689643689647,   99,4.7
2024-03-22,12.4,    0,0.3
2024-03-21,8.2,    0,0.5
2024-03-20,9.5,   71,4.54971887398017
2024-03-19,12.4,    0,1.8
2024-03-18,11.3,    0,3.6499744430891066
2024-03-17,14.5,   41,3.0726993924608434
2024-03-16,21.5,    0,5.4
2024-03-15,18.0,    0,3.9
2024-03-14,15.4,    0,1.2
2024-03-13,12.0,   10,2.984049088691265
2024-03-12,11.8,  300,2.7883403655301517
2024-03-11,15.1,    0,0.3
2024-03-10,10.3,    0,2.3938987607424727
2024-03-09,6.9,    5,2.3184764683293206
2024-03-08,12.9,    0,1.9760849648103564
2024-03-07,11.7,    0,1.856084964810357
2024-03-06,9.3,   51,1.921693461291392
2024-03-05,11.128571428571428,  221,1.9049617259558227
2024-03-04,14.0,    0,3.0
2024-03-03,12.1,    0,-1.1
2024-03-02,7.4,    0,2.297936507745204
