FMTM,WSF2,WSF5,SNOW,PRCP,WT08,DATE,WDF2,AWND,WDF5,PGTM,WT01,TMAX,WESD,WT02,WT13,TMIN,WT16,WT14,WT11,WT18,WT22,WT09,WT04,WT15,WT06,WT17,WT03,WT05,TSUN,WT10,WT21,WT19,RHMX,ASLP,RHAV,ASTP,RHMN,AWBT,ADPT,WT07
,  130,  179,    0,    0,,2025-02-21,  320,   73,  330, 1040,,5.0,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  215,    0,    0,,2025-02-20,  310,   72,  290,,,0.0,,,,-4.3,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  112,    3,    0,,2025-02-19,  340,   39,  340,,,-2.7,,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  139,    0,    0,,2025-02-18,  340,   58,  320,,,3.3,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  268,    0,    0,,2025-02-17,  300,   74,  290,,,6.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,  170,  286,    0,  119,,2025-02-16,  300,   63,  300,,    1,18.9,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  107,    0,  119,,2025-02-15,  170,   28,  170,,    1,5.0,,,,1.7,,,,,,,    1,,,,,,,,,,,,,,,,,
,   89,  143,    0,    0,,2025-02-14,  340,   43,  330,,,6.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  255,    0,   48,,2025-02-13,  310,   41,  290,,    1,13.9,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    8,   36,,2025-02-12,   10,   33,   20, 0413,,2.8,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,  150,  152,,2025-02-11,   10,   25,   20, 2305,,3.9,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   98,    0,    0,,2025-02-10,  340,   40,  320, 1358,,8.3,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  134,    0,    0,,2025-02-09,  340,   50,  340, 1348,,8.9,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   89,    0,   13,,2025-02-08,  190,   29,  190, 2338,,3.3,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  152,    0,    0,,2025-02-07,  330,   50,  320, 1001,,12.2,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,    0,  216,,2025-02-06,  210,   31,  210, 1250,,8.9,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  107,    0,   13,,2025-02-05,   10,   28,   10, 0140,,5.0,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  174,    0,    0,,2025-02-04,  340,   56,  330, 1157,,17.8,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   58,    0,    0,,2025-02-03,  170,   17,  210, 0010,,11.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   81,    0,    0,,2025-02-02,   30,   30,   30, 0017,,4.4,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  192,    0,    0,,2025-02-01,  340,   60,  330, 0623,,11.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  116,    0,  196,,2025-01-31,  190,   40,  200, 1234,,12.2,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,   76,   94,    0,    0,,2025-01-30,  170,   28,  170, 1431,,12.2,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  192,    0,    0,,2025-01-29,  340,   54,  330, 1432,,17.8,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  152,    0,    0,,2025-01-28,  320,   35,  330, 1126,,12.2,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   89,    0,    0,,2025-01-27,  200,   27,  200, 1415,,10.6,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   63,    0,    0,,2025-01-26,  330,   19,  320, 1703,,10.6,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,    0,    0,,2025-01-25,  210,   30,  220, 1543,,5.6,,,,-5.5,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   98,    0,    0,,2025-01-24,  280,   24,  290, 1042,,5.0,,,,-6.6,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   76,    0,    0,,2025-01-23,  220,   22,  220, 1209,,-0.5,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  103,    0,    0,,2025-01-22,  350,   33,  340, 0405,,-3.8,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  107,    0,    0,,2025-01-21,  330,   30,  330, 0456,,-4.3,,,,-8.8,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  134,    0,    0,,2025-01-20,  330,   53,  300, 1159,,-1.6,,,,-8.2,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  161,    8,   58,,2025-01-19,  340,   44,  340, 1650,,5.0,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   81,    0,    5,,2025-01-18,  200,   27,  200, 0151,,7.8,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   81,    0,    0,,2025-01-17,  180,   28,  170, 2253,,7.8,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   67,  107,    3,    3,,2025-01-16,  210,   33,  220, 1602,,2.8,,,,-6.6,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  165,    0,    0,,2025-01-15,  330,   55,  290, 1002,,1.1,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  157,    0,    0,,2025-01-14,  340,   60,  340, 2339,,3.9,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   98,    0,    0,,2025-01-13,  250,   25,  230, 1418,,10.6,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   81,    0,    0,,2025-01-12,  330,   23,  330, 1012,,6.7,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  174,   18,   18,,2025-01-11,  330,   48,  300, 1432,,3.9,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  125,    0,    0,,2025-01-10,  320,   40,  340, 0552,,2.2,,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,,
,  143,  201,    0,    0,,2025-01-09,  330,   69,  290, 1544,,1.1,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  170,    0,    0,,2025-01-08,  320,   60,  300, 1238,,1.1,,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  165,    0,    0,,2025-01-07,  300,   72,  300, 1655,,1.7,,,,-5.6,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  107,  183,  206,,2025-01-06,  330,   43,  310, 2007,,1.1,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  125,    0,    0,,2025-01-05,  250,   31,  240, 1214,,2.8,,,,-4.3,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  233,    0,    0,,2025-01-04,  280,   71,  290, 1013,,1.1,,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  179,    0,   10,,2025-01-03,  330,   46,  340, 1533,,7.8,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
,  134,  215,    0,    0,,2025-01-02,  290,   51,  290, 0218,,7.2,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  241,    0,    0,,2025-01-01,  280,   59,  290, 1048,,11.1,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,    0,   99,,2024-12-31,,,,,,17.2,    0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  148,    0,    0,,2024-12-30,  260,   40,  270, 1512,,17.2,    0,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  157,    0,   28,,2024-12-29,  180,   47,  170, 1231,,20.0,    0,    1,,9.4,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    0,  142,    1,2024-12-28,  190,   21,  200, 1553,    1,11.7,    0,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,   40,   45,    0,    0,    1,2024-12-27,  120,   13,  110, 1822,,9.4,    0,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   36,   54,    0,    0,,2024-12-26,   50,   17,   50, 0812,,5.0,    0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,   36,   49,    0,    0,,2024-12-25,   60,    9,  100, 1819,,8.3,    0,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   85,    3,    5,,2024-12-24,  190,   21,  200, 0026,,5.0,    0,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   81,    0,    0,,2024-12-23,  180,   31,  180, 2217,,2.2,    0,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  112,    0,    0,,2024-12-22,  320,   40,  350, 1022,,2.2,    0,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  165,    0,    0,,2024-12-21,  330,   62,  340, 1230,,4.4,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    0,    5,,2024-12-20,  330,   34,  350, 1858,,4.4,    0,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  134,    0,    0,,2024-12-19,  330,   32,  330, 0314,,10.0,    0,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,    0,   25,,2024-12-18,  330,   23,  340, 2324,,13.9,    0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   94,    0,    0,,2024-12-17,  210,   25,  200, 0155,,18.3,    0,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   85,    0,  107,,2024-12-16,  190,   27,  180, 2345,,8.9,    0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    0,   66,,2024-12-15,   50,   28,   50, 1646,,6.1,    0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    0,    0,,2024-12-14,   40,   33,   40, 0237,,6.1,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   63,    0,    0,,2024-12-13,   40,   23,   30, 2357,,5.0,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  143,    0,    0,,2024-12-12,  280,   43,  280, 1232,,8.9,    0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  134,  206,    0,  229,,2024-12-11,  320,   56,  290, 2249,,17.8,    0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   54,    0,   13,,2024-12-10,  170,   17,  210, 0827,,12.2,    0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   81,    0,   13,,2024-12-09,  170,   26,  190, 1701,,14.4,    0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,   72,  116,    0,    0,,2024-12-08,  200,   32,  250, 1359,,20.6,    0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,   72,  107,    0,    0,,2024-12-07,  270,   39,  260, 1050,,7.2,    0,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  170,    0,    0,,2024-12-06,  330,   55,  330, 1057,,4.4,    0,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,  165,  259,    0,    0,,2024-12-05,  280,   79,  290, 0853,,7.8,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  157,    0,    0,,2024-12-04,  210,   54,  190, 1630,,8.3,    0,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  125,    0,    0,,2024-12-03,  330,   42,  340, 1437,,7.2,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,    0,    0,,2024-12-02,  340,   44,  330, 1110,,6.1,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   89,    0,    0,,2024-12-01,  330,   28,  330,,,8.3,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  125,    0,    0,,2024-11-30,  310,   36,  300,,,5.0,    0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  152,    0,    0,,2024-11-29,  320,   41,  330,,,10.0,    0,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  183,    0,   89,,2024-11-28,  300,   38,  290,,    1,13.9,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   76,    0,    0,,2024-11-27,  180,   28,  310,,,13.9,    0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  206,    0,   13,,2024-11-26,  300,   35,  310,,,18.9,    0,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,
,   40,   63,    0,    0,,2024-11-25,  200,   18,  220,,,15.6,    0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   81,    0,    0,,2024-11-24,  250,   32,  260,,,16.7,    0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
,  134,  197,    0,    0,,2024-11-23,  310,   60,  300,,,14.4,    0,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  130,    0,   41,,2024-11-22,  250,   51,  260,,,8.3,    0,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  130,    0,   15,,2024-11-21,  300,   49,  300,,,12.8,    0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,  165,  228,    0,  196,,2024-11-20,  310,   24,  310,,    1,19.4,    0,,,9.4,,,,,,,,,,,    1,,,,,,,,,,,,,
,   72,  116,    0,    3,,2024-11-19,   20,   13,   10,,,17.2,    0,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   98,    0,    0,,2024-11-18,  340,   19,  330,,,22.8,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   72,    0,    0,,2024-11-17,  350,   23,  350,,,15.6,    0,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  161,    0,    0,,2024-11-16,  340,   57,  350,,,17.8,    0,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   94,    0,    8,,2024-11-15,  340,   38,  330,,    1,13.9,    0,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   81,    0,   46,,2024-11-14,  110,   29,  110,,    1,12.2,    0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  107,    0,    0,,2024-11-13,   20,   30,   20,,,12.2,    0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  139,    0,    0,,2024-11-12,   20,   65,   10,,,17.8,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  121,    0,    0,,2024-11-11,  320,   42,  330,,,25.6,    0,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  107,    0,   51,,2024-11-10,  190,   40,  190,,    1,16.1,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  139,    0,    0,,2024-11-09,  340,   34,  350,,,16.7,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  125,    0,    0,,2024-11-08,  280,   46,  310,,,23.9,    0,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   89,    0,    0,,2024-11-07,  340,   30,  330,,,28.9,    0,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,
,   76,   98,    0,    0,,2024-11-06,  170,   42,  210,,,28.3,    0,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  125,    0,    0,,2024-11-05,  210,   39,  210,,,25.6,    0,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   67,    0,    0,,2024-11-04,  210,   23,  210,,,17.8,    0,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    0,    0,,2024-11-03,  110,   22,  110,,,17.8,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  116,    0,    0,,2024-11-02,  350,   37,  360,,,18.9,    0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  139,    0,    0,,2024-11-01,  280,   48,  270,,,28.3,    0,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  112,    0,    0,,2024-10-31,  210,   45,  180,,,28.3,    0,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   67,    0,    0,,2024-10-30,  180,   29,  180,,,25.6,    0,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   81,    0,    0,,2024-10-29,  160,   23,  170,,,20.6,    0,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   81,    0,    0,,2024-10-28,  120,   22,  130,,,19.4,    0,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   98,    0,    0,,2024-10-27,   30,   25,   20,,,16.1,    0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  152,    0,    0,,2024-10-26,  330,   42,  330,,,21.7,    0,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   81,    0,    0,,2024-10-25,  160,   29,  160,,,20.0,    0,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  130,    0,    0,,2024-10-24,  350,   54,  360,,,21.7,    0,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    0,    0,,2024-10-23,  170,   24,  170,,,25.6,    0,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   63,    0,    0,,2024-10-22,  190,   21,  190,,,27.8,    0,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   85,    0,    0,    1,2024-10-21,  320,   18,  330,,,27.8,    0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
,   40,   58,    0,    0,,2024-10-20,  350,   13,  360,,,25.0,    0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   58,    0,    0,    1,2024-10-19,  120,   11,  120,,,23.9,    0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   67,    0,    0,,2024-10-18,   10,   26,   20,,,21.7,    0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  116,    0,    0,,2024-10-17,  340,   46,  350,,,17.2,    0,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  130,    0,    0,,2024-10-16,  330,   48,  350,,,15.6,    0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
,   72,  116,    0,    0,,2024-10-15,  300,   38,  300,,,15.6,    0,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  170,    0,    0,,2024-10-14,  300,   56,  280,,,21.1,    0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  143,    0,    0,,2024-10-13,  200,   51,  190,,,26.7,    0,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   94,    0,    0,,2024-10-12,  360,   24,  300,,,27.8,    0,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   89,    0,    0,,2024-10-11,  250,   34,  250,,,21.7,    0,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,
,   67,  103,    0,    0,,2024-10-10,  350,   38,  360,,,19.4,    0,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  139,    0,    0,,2024-10-09,  330,   40,  320,,,23.3,    0,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   94,    0,    0,,2024-10-08,  330,   26,  330,,,22.2,    0,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  125,    0,    0,,2024-10-07,  350,   49,  340,,,23.9,    0,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   89,    0,    0,,2024-10-06,  190,   29,  180,,,25.6,    0,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   98,    0,    0,,2024-10-05,  360,   30,  350,,    1,26.7,    0,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   67,    0,    0,,2024-10-04,  180,   32,  170,,,25.6,    0,,,18.9,,,,,,,,,,,,,,,,,,,,,,,,
,   40,   49,    0,    0,,2024-10-03,  170,   17,  190,,    1,25.6,    0,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,
,   40,   49,    0,    5,,2024-10-02,   60,   16,   50,,    1,22.2,    0,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   76,    0,  371,,2024-10-01,   50,   35,   30,,    1,20.6,    0,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   89,    0,   20,,2024-09-30,   50,   43,   60, 0323,    1,20.0,    0,,,18.9,,,,,,,,,,,,,,,,,   93,10152,   86,10132,   81,  178,  172,
,   63,   81,    0,   13,,2024-09-29,   40,   43,   20, 1947,    1,22.2,    0,,,20.0,,,,,,,,,,,,,,,,,   93,10132,   89,10108,   84,  194,  189,
,   67,   89,    0,   18,,2024-09-28,  170,   32,  100, 0012,,29.4,    0,    1,,22.2,,,,,,,,,,,,,,,,,   94,10098,   73,10075,   48,  217,  200,
,   81,  125,    0,   33,,2024-09-27,  100,   43,   90, 1522,    1,26.1,    0,,,23.3,,,,,,,,,,,,,,,,,   91,10115,   88,10095,   79,  228,  222,
,   40,   58,    0,  145,,2024-09-26,  180,   21,  140, 0032,,27.8,    0,,,22.2,,,,,,,,,,,,,,,,,   91,10163,   83,10142,   69,  222,  211,
,   63,   94,    0,   20,    1,2024-09-25,  150,   29,  140,,    1,23.3,    0,,,18.3,,,,,,,,,,,,,,,,,   93,10176,   88,10152,   84,  200,  194,
,   54,   67,    0,  119,,2024-09-24,  120,   26,  110,,    1,21.1,    0,,,17.2,,,,,,,,,,,,,,,,,   91,10179,   85,10152,   73,  172,  161,
,   58,   85,    0,   23,,2024-09-23,  130,   35,  110,,    1,21.1,    0,,,17.8,,,,,,,,,,,,,,,,,   90,10159,   79,10135,   73,  172,  161,
,   72,   94,    0,   81,,2024-09-22,   60,   31,   50,,    1,25.0,    0,,,19.4,,,,,,,,,,,    1,,,,,,   90,10152,   78,10125,   64,  189,  178,
,   58,   76,    0,    0,,2024-09-21,  170,   38,  170,,,28.3,    0,,,20.0,,,,,,,,,,,,,,,,,   87,10142,   72,10119,   57,  206,  183,
,   58,   72,    0,    0,,2024-09-20,  170,   26,  180,,,30.0,    0,,,18.3,,,,,,,,,,,,,,,,,   84,10132,   65,10102,   42,  194,  167,
,   63,   94,    0,    0,,2024-09-19,  350,   32,   20,,,29.4,    0,,,21.1,,,,,,,,,,,,,,,,,   79,10125,   65,10105,   48,  200,  172,
,   81,  103,    0,   84,,2024-09-18,   50,   47,  100,,    1,25.0,    0,,,21.1,,,,,,,,,,,,,,,,,   90,10156,   81,10135,   74,  206,  194,
,   94,  116,    0,   25,,2024-09-17,   50,   53,   50,,    1,27.2,    0,,,20.6,,,,,,,,,,,,,,,,,   87,10193,   80,10173,   62,  206,  194,
,   76,  103,    0,    0,,2024-09-16,   70,   53,   60,,    1,26.1,    0,,,17.2,,,,,,,,,,,,,,,,,   84,10237,   68,10217,   52,  178,  156,
,   81,  121,    0,    0,,2024-09-15,   90,   38,   70,,,28.9,    0,,,17.8,,,,,,,,,,,,,,,,,   84,10251,   63,10227,   41,  178,  150,
,   81,  107,    0,    0,,2024-09-14,   50,   37,   50,,,30.0,    0,,,18.3,,,,,,,,,,,,,,,,,   87,10230,   60,10207,   37,  183,  150,
,   58,   98,    0,    0,,2024-09-13,   50,   31,   50,,,28.9,    0,,,18.9,,,,,,,,,,,,,,,,,   87,10230,   71,10207,   51,  194,  178,
,   72,   94,    0,    0,,2024-09-12,  110,   26,  100,,,28.3,    0,,,18.9,,,,,,,,,,,,,,,,,   84,10227,   61,10203,   32,  183,  144,
,   63,   81,    0,    0,,2024-09-11,  110,   22,  100,,,30.0,    0,,,17.8,,,,,,,,,,,,,,,,,   79,10210,   59,10186,   40,  183,  150,
,   67,   85,    0,    0,,2024-09-10,  350,   25,  340,,,30.6,    0,,,15.0,,,,,,,,,,,,,,,,,   75,10196,   52,10173,   32,  167,  117,
,   72,  116,    0,    0,,2024-09-09,  170,   17,  230,,,26.7,    0,,,13.3,,,,,,,,,,,,,,,,,   74,10203,   48,10183,   24,  133,   78,
,   76,  107,    0,    0,,2024-09-08,  250,   37,  260,,,24.4,    0,,,13.9,,,,,,,,,,,,,,,,,   62,10186,   43,10163,   27,  122,   56,
,  130,  174,    0,    3,,2024-09-07,  330,   37,  340,,,25.0,    0,,,16.7,,,,,,,,,,,,,,,,,   90,10122,   68,10098,   45,  167,  139,
,   40,   49,    0,    0,,2024-09-06,   70,   19,   70,,,26.1,    0,,,18.3,,,,,,,,,,,,,,,,,   84,10179,   71,10159,   56,  183,  167,
,   63,   76,    0,    0,,2024-09-05,  100,   31,   90,,,26.7,    0,,,16.1,,,,,,,,,,,,,,,,,   84,10257,   63,10234,   45,  172,  139,
,   67,   94,    0,    0,,2024-09-04,   70,   30,   60,,,25.6,    0,,,14.4,,,,,,,,,,,,,,,,,   83,10291,   59,10268,   37,  156,  117,
,   89,  116,    0,    0,,2024-09-03,   60,   45,   50,,,25.0,    0,,,15.6,,,,,,,,,,,,,,,,,   60,10264,   44,10240,   27,  133,   72,
,   94,  116,    0,    0,,2024-09-02,   10,   48,  360,,,27.2,    0,,,19.4,,,,,,,,,,,,,,,,,   82,10179,   53,10156,   35,  178,  133,
,   67,   85,    0,    3,,2024-09-01,  210,   28,  220,,,30.0,    0,,,22.8,,,,,,,,,,,,,,,,,   87,10132,   79,10108,   57,  228,  211,
,   89,  116,    0,    3,,2024-08-31,  290,   23,  280, 1817,,27.8,    0,,,22.2,,,,,,,,,,,,,,,,,   91,10176,   79,10163,   69,  217,  200,
,   63,   81,    0,    8,    1,2024-08-30,   50,   36,   60,,    1,24.4,    0,,,22.2,,,,,,,,,,,    1,,,,,,   94,10220,   87,10196,   82,  211,  206,
,   76,   94,    0,  196,,2024-08-29,  100,   37,  110,,    1,33.9,    0,,,22.8,,,,,,,,,,,    1,,,,,,   90,10200,   72,10169,   56,  239,  217,
,   81,  116,    0,    0,,2024-08-28,  320,   30,  330,,,38.3,    0,,,23.9,,,,,,,,,,,,,,,,,   79,10163,   57,10135,   32,  233,  206,
,   67,   85,    0,    0,,2024-08-27,  130,   24,  160,,,33.3,    0,,,22.8,,,,,,,,,,,,,,,,,   88,10186,   60,10163,   36,  222,  189,
,  183,  237,    0,   30,,2024-08-26,  320,   28,  330,,,32.8,    0,,,21.1,,,,,,,,,,,    1,,,,,,   85,10207,   70,10183,   54,  217,  194,
,   67,   85,    0,    0,,2024-08-25,  190,   38,  200,,,30.6,    0,,,18.9,,,,,,,,,,,,,,,,,   78,10234,   60,10207,   43,  194,  161,
,   58,   76,    0,    0,,2024-08-24,  170,   31,  190,,,29.4,    0,,,18.3,,,,,,,,,,,,,,,,,   75,10244,   59,10224,   40,  183,  150,
,   63,   85,    0,    0,,2024-08-23,  130,   17,  120,,,30.0,    0,,,15.6,,,,,,,,,,,,,,,,,   75,10254,   51,10230,   28,  161,  117,
,   76,   94,    0,    0,,2024-08-22,  300,   24,  290,,,27.2,    0,,,14.4,,,,,,,,,,,,,,,,,   72,10234,   49,10207,   31,  144,   94,
,   81,  121,    0,    0,,2024-08-21,  340,   42,  340,,,25.6,    0,,,15.0,,,,,,,,,,,,,,,,,   65,10203,   47,10176,   31,  139,   83,
,   94,  125,    0,    0,,2024-08-20,  320,   54,  330,,,24.4,    0,,,17.2,,,,,,,,,,,,,,,,,   68,10152,   53,10119,   40,  156,  111,
,  112,  152,    0,    3,,2024-08-19,  330,   46,  320,,,31.1,    0,,,22.8,,,,,,,,,,,,,,,,,   79,10078,   62,10054,   46,  211,  178,
